sno,player,run,ball,str,team,boundr,contri
1,David Warner,35,42,83.3,A,4,
,,45,38,118.4,,5,
,,61,28,217.8,,10,
,,84,49,171.4,,8,
,,22,25,88,,3,
2,Shubhman gill,30,22,136.3,A,4,
,,53,44,120.4,,5,
,,87,33,263,,12,
,,78,39,200,,11,
,,15,19,78.9,,2,
3,Mitch marsh,64,42,152.3,A,7,
,,7,3,233.3,,1,
,,86,56,153.5,,8,
,,16,7,228.5,,2,
,,89,67,132..8,,6,
4,virat kohli,22,16,137.5,B,3,
,,52,30,173.3,,6,
,,32,34,94.1,,3,
,,34,25,136,,3,
,,16,11,145.4,,2,
5,joe root,26,28,92.8,B,2,
,,35,22,159,,4,
,,46,37,124.3,,5,
,,50,34,147,,6,
,,2,3,66.7,,0,
6,Ms dhoni ,29,16,181.2,B,4,
,,37,25,148,,4,
,,11,10,110,,1,
,,35,33,106,,4,
,,15,12,125,,2,
7,Rohit Sharma,49,29,168.9,,5,
,,51,30,170,,6,
,,18,19,94.7,,2,
,,38,23,165.2,,4,
,,6,11,54.5,,1,
8,Steve Smith,11,8,137.5,,1,
,,40,28,142.8,,3,
,,54,37,145.9,,4,
,,61,49,124.4,,7,
,,30,21,142.8,,3,
9,Pritesh,14,9,155.5,,2,
,,57,40,142.5,,6,
,,8,7,114.2,,1,
,,29,22,131.8,,3,
,,47,31,151.6,,5,
10,Abhinav,42,35,120,,5,
,,8,5,160,,1,
,,66,53,124.5,,6,
,,3,4,75,,0,
,,44,32,137.5,,4,
11,Ayan,63,50,126,,5,
,,65,50,130,,6,
,,28,25,112,,3,
,,33,26,126.9,,4,
,,51,34,150,,6,
12,Wasil,22,19,115.7,,2,
,,17,15,113.3,,2,
,,64,52,123,,5,
,,31,27,114.8,,3,
,,27,22,122.7,,4,
13,Chris Gayle,89,48,185.4,,8,
,,42,20,210,,6,
,,33,21,157.1,,4,
,,98,69,142,,9,
,,15,6,250,,2,
14,Kane Williamson,66,45,146.6,,6,
,,46,25,184,,6,
,,3,4,75,,0,
,,25,14,178.5,,3,
,,38,23,165.2,,4,
15,Ben stokes,54,34,158.8,,6,
,,21,13,161.5,,2,
,,78,45,173.3,,7,
,,45,34,132.3,,4,
,,34,26,130.7,,3,
16,Ishan kishan ,47,30,156.6,,5,
,,59,38,155.2,,6,
,,27,15,180,,3,
,,5,3,166.6,,1,
,,70,56,125,,6,
